Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0600000US2500100000,2500100000,"County subdivisions not defined, Barnstable County, Massachusetts",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US2500103690,2500103690,"Barnstable Town city, Barnstable County, Massachusetts",44750,60,40912,633,1483,501,185,115,365,181,0,26,848,370,957,298,97,63,860,303
0600000US2500107175,2500107175,"Bourne town, Barnstable County, Massachusetts",19749,19,18351,352,605,272,86,72,135,85,6,12,173,94,393,158,47,52,346,158
0600000US2500107980,2500107980,"Brewster town, Barnstable County, Massachusetts",9858,25,9666,119,78,81,12,23,30,29,0,17,9,23,63,52,2,5,61,52
0600000US2500112995,2500112995,"Chatham town, Barnstable County, Massachusetts",6129,17,5641,234,364,215,0,17,41,41,0,17,17,26,66,45,16,25,50,39
0600000US2500116775,2500116775,"Dennis town, Barnstable County, Massachusetts",14113,28,13236,387,450,326,56,64,103,114,0,19,69,70,199,133,63,82,136,116
0600000US2500119295,2500119295,"Eastham town, Barnstable County, Massachusetts",4932,22,4861,77,0,12,15,26,54,69,0,12,0,12,2,8,0,12,2,8
0600000US2500123105,2500123105,"Falmouth town, Barnstable County, Massachusetts",31576,24,27952,648,1237,519,134,106,1090,269,0,26,435,179,728,258,227,148,501,245
0600000US2500129020,2500129020,"Harwich town, Barnstable County, Massachusetts",12205,24,11350,277,238,173,9,15,311,188,0,19,110,92,187,148,73,66,114,107
0600000US2500139100,2500139100,"Mashpee town, Barnstable County, Massachusetts",13988,28,12800,319,218,144,345,209,141,136,0,19,118,96,366,181,64,67,302,140
